id;country_flag
24;country/flag/ae.png
29;country/flag/au.png
78;country/flag/qa.png
47;country/flag/se.png
69;country/flag/us.png
73;country/flag/az.png
49;country/flag/es_ISHI1m3.png
67;country/flag/es.png
61;country/flag/de.png
66;country/flag/ch.png
50;country/flag/be_QmfNPvc.png
11;country/flag/hu_3y0wpmI.png
25;country/flag/ar.png
43;country/flag/us_y0i3SEg.png
60;country/flag/us_HoE3BsP.png
64;country/flag/ma.png
31;country/flag/gb_BwgtMTf.png
51;country/flag/fr_SWzgT0a.png
42;country/flag/us_rdOhwPm.png
37;country/flag/us_opvkvzA.png
41;country/flag/fr_Dq68aEQ.png
56;country/flag/za.png
27;country/flag/pt_2GfrAhr.png
63;country/flag/us_LfYuPEw.png
40;country/flag/be.png
10;country/flag/de_yO65V3T.png
21;country/flag/it_QOLQhSi.png
19;country/flag/us_2Ryn2It.png
5;country/flag/tr.png
77;country/flag/ao.png
26;country/flag/es_qFbgwWr.png
38;country/flag/gb_TYwwhEB.png
2;country/flag/my.png
80;country/flag/bandeira_americana_bb_k29u3Ul.webp
34;country/flag/fr_wibz5Bf.png
54;country/flag/fr_YdjsSOt.png
62;country/flag/pt_8Wv0Ekd.png
58;country/flag/gb.png
45;country/flag/es_wqoW1Zp.png
8;country/flag/fr_VgMb8aK.png
15;country/flag/sg.png
1;country/flag/au_2ySzP2s.png
32;country/flag/mx.png
79;country/flag/bandeira_americana_bb.webp
30;country/flag/za_UliBfM4.png
6;country/flag/mc.png
4;country/flag/es_pxXgDxv.png
7;country/flag/ca_h0ph0IX.png
14;country/flag/it_GJaku3U.png
76;country/flag/it_R6MXExp.png
44;country/flag/us_A9mAn0Y.png
46;country/flag/us_5AB0OZa.png
20;country/flag/de_NsLzk6P.png
28;country/flag/jp.png
48;country/flag/ca_PKI1Mau.png
59;country/flag/pt_1X5DEES.png
16;country/flag/jp_3wteHJe.png
65;country/flag/it.png
33;country/flag/us_UnUEgq5.png
75;country/flag/pt.png
52;country/flag/ca.png
55;country/flag/fr.png
36;country/flag/br.png
53;country/flag/fr_hofrylO.png
3;country/flag/bh.png
18;country/flag/br_UDMS91e.png
17;country/flag/cn.png
9;country/flag/gb_vDYPGWz.png
71;country/flag/ru.png
13;country/flag/be_HolhLou.png
70;country/flag/at_YVxFnPq.png
57;country/flag/at.png
22;country/flag/jp_V06yZAA.png
68;country/flag/in.png
12;country/flag/es_31zi5Dw.png
35;country/flag/kr.png
39;country/flag/nl.png
